State,District,Block/Tehsil,Village,values,problem
ANDHRA PRADESH,Anantapur,Tadpatri,Gangadevipalle,0,Salinity
ANDHRA PRADESH,Anantapur,Tadpatri,Gangadevipalle,3,Dried_up
ANDHRA PRADESH,Anantapur,Tadpatri,Gangadevipalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Tadpatri,Gangadevipalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Tadpatri,Gangadevipalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Tadpatri,Gangadevipalle,0,Project
ANDHRA PRADESH,Anantapur,Tadpatri,Gangadevipalle,0,Others
ANDHRA PRADESH,Anantapur,Tadpatri,Nandalapadu (R),0,Salinity
ANDHRA PRADESH,Anantapur,Tadpatri,Nandalapadu (R),22,Dried_up
ANDHRA PRADESH,Anantapur,Tadpatri,Nandalapadu (R),0,Destroyed
ANDHRA PRADESH,Anantapur,Tadpatri,Nandalapadu (R),0,Sea_water
ANDHRA PRADESH,Anantapur,Tadpatri,Nandalapadu (R),0,Factory_waste
ANDHRA PRADESH,Anantapur,Tadpatri,Nandalapadu (R),0,Project
ANDHRA PRADESH,Anantapur,Tadpatri,Nandalapadu (R),0,Others
ANDHRA PRADESH,Anantapur,Tadpatri,Tadpatri (R),2,Salinity
ANDHRA PRADESH,Anantapur,Tadpatri,Tadpatri (R),62,Dried_up
ANDHRA PRADESH,Anantapur,Tadpatri,Tadpatri (R),0,Destroyed
ANDHRA PRADESH,Anantapur,Tadpatri,Tadpatri (R),0,Sea_water
ANDHRA PRADESH,Anantapur,Tadpatri,Tadpatri (R),0,Factory_waste
ANDHRA PRADESH,Anantapur,Tadpatri,Tadpatri (R),0,Project
ANDHRA PRADESH,Anantapur,Tadpatri,Tadpatri (R),0,Others
ANDHRA PRADESH,Anantapur,Tadpatri,Veerapuram,0,Salinity
ANDHRA PRADESH,Anantapur,Tadpatri,Veerapuram,1,Dried_up
ANDHRA PRADESH,Anantapur,Tadpatri,Veerapuram,0,Destroyed
ANDHRA PRADESH,Anantapur,Tadpatri,Veerapuram,0,Sea_water
ANDHRA PRADESH,Anantapur,Tadpatri,Veerapuram,0,Factory_waste
ANDHRA PRADESH,Anantapur,Tadpatri,Veerapuram,0,Project
ANDHRA PRADESH,Anantapur,Tadpatri,Veerapuram,0,Others
ANDHRA PRADESH,Anantapur,Uravakonda,Chinna Musturu,0,Salinity
ANDHRA PRADESH,Anantapur,Uravakonda,Chinna Musturu,11,Dried_up
ANDHRA PRADESH,Anantapur,Uravakonda,Chinna Musturu,0,Destroyed
ANDHRA PRADESH,Anantapur,Uravakonda,Chinna Musturu,0,Sea_water
ANDHRA PRADESH,Anantapur,Uravakonda,Chinna Musturu,0,Factory_waste
ANDHRA PRADESH,Anantapur,Uravakonda,Chinna Musturu,0,Project
ANDHRA PRADESH,Anantapur,Uravakonda,Chinna Musturu,0,Others
ANDHRA PRADESH,Anantapur,Uravakonda,Lathavaram,0,Salinity
ANDHRA PRADESH,Anantapur,Uravakonda,Lathavaram,1,Dried_up
ANDHRA PRADESH,Anantapur,Uravakonda,Lathavaram,0,Destroyed
ANDHRA PRADESH,Anantapur,Uravakonda,Lathavaram,0,Sea_water
ANDHRA PRADESH,Anantapur,Uravakonda,Lathavaram,0,Factory_waste
ANDHRA PRADESH,Anantapur,Uravakonda,Lathavaram,0,Project
ANDHRA PRADESH,Anantapur,Uravakonda,Lathavaram,0,Others
ANDHRA PRADESH,Anantapur,Uravakonda,Mopidi,0,Salinity
ANDHRA PRADESH,Anantapur,Uravakonda,Mopidi,4,Dried_up
