State,District,Block/Tehsil,Village,No. of Surface Flow Schemes Permanently not in use due to - Salinity,No. of Surface Flow Schemes Permanently not in use due to - Dried up,No. of Surface Flow Schemes Permanently not in use due to - Destroyed beyond repair,No. of Surface Flow Schemes Permanently not in use due to - Sinking,No. of Surface Flow Schemes Permanently not in use due to - Other reasons
ANDHRA PRADESH,Anantapur,Anantapur,Katiganikalva,0,0,0,0,1
ANDHRA PRADESH,Sri Potti Sriramul,Ojili,Gurramkonda,0,0,0,0,1
ANDHRA PRADESH,Chittoor,Thamballapalle,Eddulavaripalle,0,6,0,0,0
ANDHRA PRADESH,Visakhapatnam,Bheemunipatnam,Nidigattu,0,0,0,0,1
ANDHRA PRADESH,Kadapa,Atlur,Kondur,0,5,0,0,0
ANDHRA PRADESH,Chittoor,Bangarupalem,Gundla Kattamanchi,0,4,0,0,0
ANDHRA PRADESH,Visakhapatnam,Nathavaram,Pedabhairavabhoopati A,0,0,0,0,1
ANDHRA PRADESH,Prakasam,Pedacherlo Palle,Talakondapadu,0,1,0,0,0
ANDHRA PRADESH,Prakasam,Kanigiri,Baduguleru,0,1,0,0,0
ANDHRA PRADESH,Vizianagaram,Vizianagaram,Korukonda,0,0,0,0,1
ANDHRA PRADESH,Kadapa,Veeraballe,Matli,0,1,0,0,0
ANDHRA PRADESH,Chittoor,Thamballapalle,Kukkarajupalle,0,7,0,0,0
ANDHRA PRADESH,Chittoor,Thavanampalle,Muthukur,0,3,0,0,0
ANDHRA PRADESH,Prakasam,Pedacherlo Palle,Guntu Palle,0,2,0,0,0
ANDHRA PRADESH,Prakasam,Pedacherlo Palle,Peda Alavala Padu,0,3,0,0,0
ANDHRA PRADESH,Kurnool,Nandikotkur,Vaddamanu,0,1,0,0,0
ANDHRA PRADESH,Chittoor,Thavanampalle,Uthara Brahmanapalle,0,2,0,0,0
ANDHRA PRADESH,Sri Potti Sriramul,Buchireddipalem,Vavveru,0,0,0,0,1
ANDHRA PRADESH,Anantapur,Yadiki,Yadiki,0,1,0,0,0
ANDHRA PRADESH,Prakasam,Chandra Sekhara Puram,Anikalla Palle,0,1,0,0,0
ANDHRA PRADESH,Chittoor,B.Kothakota,Kotavooru,0,8,1,0,0
ANDHRA PRADESH,East Godavari,Y. Ramavaram,Panasalapalem,0,0,1,0,0
ANDHRA PRADESH,East Godavari,Kotananduru,Billananduru,0,0,1,0,0
ANDHRA PRADESH,Chittoor,Chinnagottigallu,Yeguvuru,0,18,0,0,0
ANDHRA PRADESH,Chittoor,Thavanampalle,Punya Samudram,0,1,0,0,0
ANDHRA PRADESH,Vizianagaram,Gurla,Solipisomarajupeta,0,0,0,0,1
ANDHRA PRADESH,East Godavari,Rampachodavaram,Tamarapalle,0,0,0,0,1
ANDHRA PRADESH,Kadapa,Jammalamadugu,Jammalamadugu(NP),0,1,0,0,0
ANDHRA PRADESH,Vizianagaram,Gajapathinagaram,Marupalle,0,0,0,0,2
ANDHRA PRADESH,Kadapa,Atlur,Yerraballe,0,1,0,0,0
ANDHRA PRADESH,Prakasam,Chandra Sekhara Puram,Yekunam Puram,0,2,0,0,0
ANDHRA PRADESH,Chittoor,B.Kothakota,Thummanamgutta,0,16,0,0,0
ANDHRA PRADESH,West Godavari,Devarapalle,Yadavole,0,6,0,0,0
ANDHRA PRADESH,Kurnool,Kodumur,Yerradoddi,0,0,0,0,1
ANDHRA PRADESH,Visakhapatnam,S.Rayavaram,Pettugollapalle,0,0,0,0,1
ANDHRA PRADESH,Anantapur,Pamidi,Gajarampalle,0,3,0,0,0
ANDHRA PRADESH,Srikakulam,Kaviti,Bejjiputtuga,3,0,0,0,0
ANDHRA PRADESH,Sri Potti Sriramul,Ojili,Pinapariyapadu,0,0,0,0,1
ANDHRA PRADESH,Srikakulam,Narasannapeta,Paraselli,0,0,0,0,2
ANDHRA PRADESH,Chittoor,Bangarupalem,Noonegundlapalle,0,2,0,0,0
ANDHRA PRADESH,Prakasam,Veligandla,Veligandla,0,1,0,0,0
ANDHRA PRADESH,Prakasam,Pedacherlo Palle,Vittala Puram,0,1,0,0,0
ANDHRA PRADESH,Kadapa,Chinthakommadinne,Thadigotla,0,1,0,0,0
ANDHRA PRADESH,Anantapur,Kundurpi,Jambugumpala,0,0,1,0,0
ANDHRA PRADESH,Prakasam,Bestawaripeta,Pitikayagulla,0,3,0,0,0
ANDHRA PRADESH,Kadapa,Lakkireddipalle,Somabotlapalle,0,1,0,0,0
ANDHRA PRADESH,Prakasam,Tangutur,Vasepallepadu,0,0,1,0,0
ANDHRA PRADESH,Visakhapatnam,Pendurthi,Chintagatla,0,0,1,0,0
ANDHRA PRADESH,Prakasam,Pedacherlo Palle,Pedacherlo Palle,0,2,0,0,0
ANDHRA PRADESH,Kadapa,Chinthakommadinne,Chinnakampalle,0,1,0,0,0
ANDHRA PRADESH,Anantapur,Amarapuram,Amarapuram,0,0,4,0,0
ANDHRA PRADESH,Anantapur,Pamidi,Ramagiri,0,0,1,0,0
ANDHRA PRADESH,Vizianagaram,Gummalakshmipuram,Beerupadu,0,0,3,0,0
ANDHRA PRADESH,Anantapur,Pamidi,Khadarpeta,0,1,0,0,0
ANDHRA PRADESH,Prakasam,Kanigiri,Umamaheswarapuram,0,1,0,0,0
ANDHRA PRADESH,Prakasam,Ulavapadu,Chaki Cherla,0,0,0,0,1
ANDHRA PRADESH,Kurnool,Veldurthi,Sudepalle,0,2,0,0,0
ANDHRA PRADESH,Prakasam,Pedacherlo Palle,Peda Irla Padu,0,3,0,0,0
ANDHRA PRADESH,Kadapa,Chakrayapet,Mahadevapalle,0,5,0,0,0
ANDHRA PRADESH,Anantapur,Gooty,Brahmanapalle,0,1,0,0,0
ANDHRA PRADESH,Chittoor,Kalakada,Yerrakotapalle,0,1,0,0,0
ANDHRA PRADESH,Chittoor,Thamballapalle,Gundlapalle,0,8,2,0,0
ANDHRA PRADESH,East Godavari,Gandepalle,Gandepalle,0,0,0,0,3
ANDHRA PRADESH,Kurnool,Veldurthi,Veldurthi,0,5,0,0,0
ANDHRA PRADESH,Prakasam,Ballikurava,Uppumaguluru,0,0,0,0,2
ANDHRA PRADESH,Chittoor,Thavanampalle,Thavanampalle,0,5,0,0,0
ANDHRA PRADESH,Chittoor,Bangarupalem,Palamakulapalle,0,2,0,0,0
ANDHRA PRADESH,Kadapa,Jammalamadugu,Poorva Bommepalle,0,11,0,0,0
ANDHRA PRADESH,Chittoor,Thamballapalle,Gopidinne,0,16,2,0,0
ANDHRA PRADESH,Kadapa,Sri Avadhutha Kasinaya,Rampadu,1,0,0,0,0
ANDHRA PRADESH,Visakhapatnam,Chodavaram,Rayapurajupeta,0,0,0,0,3
ANDHRA PRADESH,Chittoor,Satyavedu,Chengambakam,0,0,0,0,1
ANDHRA PRADESH,Prakasam,Kanigiri,Punugodu,0,1,0,0,0
ANDHRA PRADESH,Chittoor,Kurabalakota,Thettu,0,12,0,0,0
ANDHRA PRADESH,Prakasam,Veligandla,Ganesuni Palle,0,1,0,0,0
ANDHRA PRADESH,Guntur,Bollapalle,Gandiganumala,0,2,0,0,0
ANDHRA PRADESH,Kadapa,Veeraballe,Somavaram,0,0,1,0,0
ANDHRA PRADESH,Srikakulam,Sarubujjili,Peddavenkatapuram,0,0,0,0,1
ANDHRA PRADESH,Chittoor,Chinnagottigallu,Chattevaripalem,0,16,0,0,0
ANDHRA PRADESH,Srikakulam,Narasannapeta,Pothayyavalasa,0,0,0,0,1
ANDHRA PRADESH,Kadapa,Jammalamadugu,Gandikota,0,2,0,0,0
ANDHRA PRADESH,Kadapa,Jammalamadugu,Ponnathota,0,7,0,0,0
ANDHRA PRADESH,Anantapur,Kanekal,N.Hanumapuram,0,1,0,0,0
ANDHRA PRADESH,Sri Potti Sriramul,Sydapuram,Thokalapudi,0,2,1,0,0
ANDHRA PRADESH,Chittoor,Thamballapalle,Kotakonda,0,8,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Thaticherla,0,0,0,0,1
ANDHRA PRADESH,East Godavari,Gandepalle,Yerrampalem,0,0,0,0,1
ANDHRA PRADESH,Visakhapatnam,Dumbriguda,Ranginivalasa,0,0,1,0,0
ANDHRA PRADESH,Chittoor,Thavanampalle,Eguva Thadakara,0,1,0,0,0
ANDHRA PRADESH,West Godavari,Jangareddigudem,Lakkavaram,0,0,0,0,3
ANDHRA PRADESH,East Godavari,Rampachodavaram,Kannavaram,0,1,0,0,0
ANDHRA PRADESH,Kadapa,Lakkireddipalle,Dappepalle,0,7,0,0,0
ANDHRA PRADESH,Chittoor,Thamballapalle,Renimakulapalle,0,13,0,0,0
ANDHRA PRADESH,Guntur,Bollapalle,Bollapalle,0,1,0,0,0
ANDHRA PRADESH,Vizianagaram,Mentada,Mentada,0,0,0,0,1
ANDHRA PRADESH,Chittoor,Yerravaripalem,Chinthakunta,0,0,0,0,1
ANDHRA PRADESH,Prakasam,Veligandla,Pulikuntla Ralla Palle,0,1,0,0,0
ANDHRA PRADESH,Kurnool,Bandi Atmakur,Ernapadu,0,1,0,0,0
ANDHRA PRADESH,Guntur,Bollapalle,Gummanampadu,0,1,0,0,0
ANDHRA PRADESH,Kadapa,Lakkireddipalle,Ananthapuram,0,13,0,0,0
ANDHRA PRADESH,Prakasam,Kanigiri,Tallur,0,2,0,0,0
ANDHRA PRADESH,Prakasam,Kanigiri,Balavenkata Puram,0,1,0,0,0
ANDHRA PRADESH,Prakasam,Chandra Sekhara Puram,Chennapanayuni Palle,0,3,0,0,0
ANDHRA PRADESH,Visakhapatnam,Bheemunipatnam,Amanam,0,0,0,0,5
ANDHRA PRADESH,Prakasam,Kanigiri,Balli Palle,0,3,0,0,0
ANDHRA PRADESH,Prakasam,Chandra Sekhara Puram,Mundlapadu,0,1,0,0,0
ANDHRA PRADESH,Vizianagaram,Gummalakshmipuram,Sikalabai,0,0,1,0,0
ANDHRA PRADESH,Vizianagaram,Balijipeta,Narampeta,0,0,1,0,0
