State,District,Block/Tehsil,Village,No. of Surface Lift Schemes Permanently not in use due to - Salinity,No. of Surface Lift Schemes Permanently not in use due to - Dried up,No. of Surface Lift Schemes Permanently not in use due to - Destroyed beyond repair,No. of Surface Lift Schemes Permanently not in use due to - Sinking,No. of Surface Lift Schemes Permanently not in use due to - Other reasons
UTTARAKHAND,Tehri,JAUNPUR,NAWAGAON,0,0,0,0,1
UTTARAKHAND,Almora,LAMGARA,BHATKHOLA,0,0,0,0,1
UTTARAKHAND,Almora,CHAUKHUTIYA,GARHSARI,0,0,0,0,1
UTTARAKHAND,Pithorgarh,GANGOLIHAT,KAWARNAD,0,0,1,0,0
UTTARAKHAND,Pithorgarh,KANALICHINA,RIN,0,0,0,0,1
UTTARAKHAND,Udham Singh Nagar,JASPUR,AHMAD NAGAR,0,0,0,0,3
UTTARAKHAND,Udham Singh Nagar,JASPUR,BADIYOWALA,0,0,0,0,1
UTTARAKHAND,Udham Singh Nagar,JASPUR,BAHADHUR PUR,0,0,0,0,1
UTTARAKHAND,Tehri,BHILANGNA,JAKHNIYALI,0,0,0,0,1
UTTARAKHAND,Almora,LAMGARA,SUWAL,0,0,0,0,1
UTTARAKHAND,Almora,DHAULADEVI,CHHANTANA,0,0,0,0,1
UTTARAKHAND,Chamoli,DASHOLI,GADI,0,0,1,0,0
UTTARAKHAND,Tehri,KRITINAGAR,PAINDULA,0,0,0,0,1
UTTARAKHAND,Pithorgarh,BERINAAG,JAGTHALI,0,0,0,0,1
UTTARAKHAND,Almora,HAWALBAG,SIMKUKARI,0,0,0,0,1
UTTARAKHAND,Uttarkashi,PAROLA,HUDOLI,0,0,0,0,1
UTTARAKHAND,Pithorgarh,BERINAAG,DUNKHOLA,0,0,0,0,1
UTTARAKHAND,Almora,BHAISIACHHANA,ALAI SUPYAL,0,0,0,0,1
UTTARAKHAND,Chamoli,DEWAL,KOTHI,0,0,1,0,0
UTTARAKHAND,Tehri,KRITINAGAR,AMOLI,0,0,0,0,1
UTTARAKHAND,Pithorgarh,MUNAKOT,GAYALA PIPLI,0,0,1,0,0
UTTARAKHAND,Chamoli,KARNAPRAYAG,SIMALI,0,0,0,0,1
UTTARAKHAND,Chamoli,NARAINBAGAR,KEVAT TALLA,0,0,0,0,1
UTTARAKHAND,Rudarprayag,AUGUSTYAMUNI,BUTOL GAON,0,0,0,0,1
UTTARAKHAND,Rudarprayag,JAKHOLI,MALYASU TALLA,0,0,0,0,1
UTTARAKHAND,Chamoli,NARAINBAGAR,BEDULA,0,0,0,0,1
UTTARAKHAND,Pithorgarh,GANGOLIHAT,KHEROLI,0,0,0,0,1
UTTARAKHAND,Tehri,BHILANGNA,KATHUR TALLA,0,0,0,0,1
UTTARAKHAND,Pithorgarh,GANGOLIHAT,TALLI KHARI,0,0,1,0,0
UTTARAKHAND,Chamoli,DASHOLI,NAGARTANGSA,0,0,2,0,0
UTTARAKHAND,Tehri,JAUNPUR,MARORA,0,0,0,0,1
UTTARAKHAND,Almora,LAMGARA,NOALI,0,0,0,0,1
UTTARAKHAND,Almora,LAMGARA,NAULI,0,0,0,0,1
UTTARAKHAND,Tehri,JAUNPUR,HATWALGAON,0,0,0,0,1
UTTARAKHAND,Rudarprayag,AUGUSTYAMUNI,BHATWARI-IV,0,0,0,0,1
UTTARAKHAND,Pithorgarh,GANGOLIHAT,PABHYA,0,0,1,0,0
UTTARAKHAND,Almora,TAKULA,KHARAUN,0,0,1,0,0
UTTARAKHAND,Almora,LAMGARA,CHAUMU,0,0,0,0,2
UTTARAKHAND,Pithorgarh,BERINAAG,KIMKOT,0,0,0,0,1
UTTARAKHAND,Pithorgarh,GANGOLIHAT,DANOLA SIRA,0,0,1,0,0
UTTARAKHAND,Pithorgarh,GANGOLIHAT,SALIKHET,0,0,1,0,0
UTTARAKHAND,Pithorgarh,GANGOLIHAT,SIMALTA,0,0,0,0,1
UTTARAKHAND,Rudarprayag,AUGUSTYAMUNI,GAHAD,0,0,1,0,0
UTTARAKHAND,Chamoli,DASHOLI,GADORA,0,0,1,0,0
UTTARAKHAND,Tehri,KRITINAGAR,SEMI SEMLA,0,0,0,0,1
UTTARAKHAND,Chamoli,DASHOLI,CHHINKA,0,0,1,0,0
UTTARAKHAND,Almora,LAMGARA,KHIRAULI,0,0,0,0,1
WEST BENGAL,BIRBHUM,KHOYRASOLE,CHALK DAKAI,0,0,1,0,0
WEST BENGAL,NADIA,KRISHNAGANJ,MATHURAPUR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,KUDBHERI,0,0,1,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,SABANG,NIMKIMOHAR,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,MOYNA,DEULI,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,RAGHU SARDAR BAR,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,SAMUDRA PUR,0,1,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,DATTAPUR,0,0,1,0,0
WEST BENGAL,BIRBHUM,LABPUR,AMNAHAR,0,1,3,0,0
WEST BENGAL,BIRBHUM,RAMPURHAT-II,CHANDIPUR,0,0,0,0,1
WEST BENGAL,PURBA MIDNAPORE,EGRA - II,GERIA,0,0,2,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,JHARGRAM,JARULIA,1,0,0,0,0
WEST BENGAL,PURULIA,NETURIA,SEULIBARI,0,1,0,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,GOBRA,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - II,JAGADISH PASHIMBAR,0,0,1,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,SALBONI,MAHISARA-II,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,DHANDIGHI,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,KISOR NAGAR,0,0,2,0,0
WEST BENGAL,BIRBHUM,KHOYRASOLE,ARJONSHULI,0,1,0,1,0
WEST BENGAL,PASHCHIM MIDNAPORE,KHARAGPUR - II,SHYAMSUNDARPUR,0,0,0,0,1
WEST BENGAL,NADIA,NABADWIP,TEGHARI,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,PASCHIMBARH,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,SAMUDRA PUR JALPAI,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,PADMAPUTCHHKUBANARBR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,PATASHPUR - I,PAHARPUR,0,0,1,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,GOPIBALLAVPUR - II,SALTORIA JAL,0,0,0,0,1
WEST BENGAL,PURBA MIDNAPORE,EGRA - II,EGRA PATNA,0,0,9,0,0
WEST BENGAL,BIRBHUM,MURARAI-2,AMDOLE,0,0,2,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,GARHBETA - II,GOTEMAKLI,0,1,0,0,0
WEST BENGAL,PURBA MIDNAPORE,MOYNA,SRIDHARPUR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,SAHID MATANGINI,BARHARA SANKAR,0,0,1,0,0
WEST BENGAL,BIRBHUM,MAYURESWAR-1,MOHURAPUR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,SAHID MATANGINI,GATHRA,0,0,5,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,DALBALADYA,0,0,2,0,0
WEST BENGAL,BIRBHUM,ILLAM BAZAR,SANTOSH PUR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,GADADHARPUR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,SUTAHATA,BARADA,0,0,4,0,0
WEST BENGAL,BIRBHUM,SAINTHIA,MATHPALSA,0,0,1,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,GHATAL,BHANGADHA,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,DESHPRAN,PURBA KUSHBONI,0,0,2,0,0
WEST BENGAL,BIRBHUM,MAYURESWAR-1,MAJURHATI,0,0,8,0,0
WEST BENGAL,BARDDHAMAN,AUSGRAM-I,BERENDA,0,0,0,0,1
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,VERICHALI,0,0,1,0,0
WEST BENGAL,BARDDHAMAN,PURBASTHALI-1,KUNDA PARA,0,0,0,0,1
WEST BENGAL,PURBA MIDNAPORE,SAHID MATANGINI,PADUMPUR,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,BERAKHANA,0,0,5,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,SAIYADPUR,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - II,MANDARPUR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,DIGHA,0,0,1,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,PINGLA,MANDALBAR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,PARIHAPUR,0,0,1,0,0
WEST BENGAL,BIRBHUM,MURARAI-2,BALIA DANGA,0,0,13,0,0
WEST BENGAL,MURSHIDABAD,KANDI,DURGAPUR,1,0,0,0,0
WEST BENGAL,SOUTH 24 PARGANAS,MATHURAPUR-II,KHARI,0,1,0,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,KIAGERIA,0,0,7,0,0
WEST BENGAL,NADIA,KRISHNANAGAR-II,DURGABAS,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,GIMA GARIA,0,0,1,0,0
WEST BENGAL,MURSHIDABAD,BURWAN,GAFULIA,0,0,0,0,1
WEST BENGAL,BIRBHUM,RAJ NAGAR,PASCHIM SIRSHA,0,1,0,0,0
WEST BENGAL,PURBA MIDNAPORE,SUTAHATA,CHAK SIZBARIA,0,0,1,0,0
WEST BENGAL,SOUTH 24 PARGANAS,KULPI,JAMAL,0,0,0,0,1
WEST BENGAL,PURBA MIDNAPORE,DESHPRAN,HARRANAMALDIHA,0,0,3,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,MANOHARCHAK,0,0,5,0,0
WEST BENGAL,MURSHIDABAD,SAGARDIGHI,HOSSAINPUR,0,0,0,0,1
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,LACHHIMPUR,0,0,2,0,0
WEST BENGAL,BIRBHUM,BOLPUR SRINEKATAN,KAKUTIA,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,SUTAHATA,ARIAKHALI,0,0,3,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,DAKSHINPOTAPUKHURIA,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,HALDIA,DEGHASHIPUR,0,1,7,0,0
WEST BENGAL,PURBA MIDNAPORE,MOYNA,MATHURAPUR,0,0,2,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,GARHBETA - III,GOLABANDI,0,1,0,0,0
WEST BENGAL,PURBA MIDNAPORE,DESHPRAN,TETHAIPADA,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,BADAL PUR-I,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,DESHPRAN,CHANDIVETI,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,ALAMPUR,0,0,1,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,SANKRAIL,RAGRA,0,0,0,0,1
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,PURBA BIRAMPUR,0,0,5,0,0
WEST BENGAL,MURSHIDABAD,MURSHIDABAD-JIAGANJ,RAMNAGAR,0,0,0,0,1
WEST BENGAL,NADIA,KARIMPUR-I,GANDHINA,0,0,1,0,0
WEST BENGAL,BIRBHUM,MAYUURESWAR-2,CHAUL JA,0,1,0,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,DAHADAYA,0,0,1,0,0
WEST BENGAL,NADIA,KARIMPUR-I,DAHAKHOLA,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,DESHPRAN,KALIKAPUR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,DAKSHIN GOBINDA PUR,0,0,3,0,0
WEST BENGAL,PURBA MIDNAPORE,HALDIA,CHAPRASIR  CHAK,0,0,8,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,SALBONI,DHANGHORI,0,0,1,0,0
WEST BENGAL,BIRBHUM,DUBRAJ PUR,AULIA,0,0,2,0,0
WEST BENGAL,BIRBHUM,MAYUURESWAR-2,GORGORA,0,0,1,0,0
WEST BENGAL,BIRBHUM,MD.BAZAR,ALINAGAR,0,0,2,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,SANKRAIL,SAPUA SARULIA NIKASI,0,0,0,0,1
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,ADAM BAR,0,0,1,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,GOPIBALLAVPUR - I,BHATLANDIA,0,0,0,0,1
WEST BENGAL,BIRBHUM,LABPUR,LABPUR,0,0,6,0,0
WEST BENGAL,BIRBHUM,ILLAM BAZAR,TARAPUR,0,0,1,0,0
WEST BENGAL,HOOGHLY,DHANIAKHALI,BHAGABANPUR,0,0,1,0,0
WEST BENGAL,MURSHIDABAD,BURWAN,PAPARDAHA,0,0,0,0,1
WEST BENGAL,BIRBHUM,MD.BAZAR,RAMPUR,0,0,1,0,0
WEST BENGAL,SOUTH 24 PARGANAS,GOSABA,UTTARDANGA,0,2,0,0,0
WEST BENGAL,BIRBHUM,RAMPURHAT-II,DAKSHINNARAYAN,0,1,0,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,HOLDIA,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,SHYAMSUNDARPUR,0,0,1,0,0
WEST BENGAL,SOUTH 24 PARGANAS,KULPI,DAKSHIN SUKDEVPUR,1,0,0,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,KULIYATA,0,0,1,0,0
WEST BENGAL,BIRBHUM,RAJ NAGAR,KANMORA,0,1,0,0,0
WEST BENGAL,HOOGHLY,HARIPAL,GHATRA,0,0,1,0,0
WEST BENGAL,BIRBHUM,KHOYRASOLE,KAMALPUR,0,0,4,0,0
WEST BENGAL,PURBA MIDNAPORE,DESHPRAN,PHULBONI,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,KATANDIHA,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,HALDIA,DAKSHIN HALAPARA,0,0,2,0,0
WEST BENGAL,NADIA,HANSKHALI,DAHARBUINCHA,0,0,2,0,0
WEST BENGAL,KOCH BEHAR,MEKHLIGANJ,PASCHM PTCHRAGOPLPUR,0,1,0,0,0
WEST BENGAL,BARDDHAMAN,PURBASTHALI-1,NADANGHAT,0,0,0,0,1
WEST BENGAL,PURBA MIDNAPORE,HALDIA,HATIBERIA,0,0,2,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,SANKRAIL,BIRDAHI,0,0,1,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,SABANG,CHAK ABDULLYA,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,EGRA - II,BAMUNIABAR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,JHARKOSBAR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - II,AKULBAR,0,0,1,0,0
WEST BENGAL,BIRBHUM,KHOYRASOLE,RASA,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,SUTAHATA,SRIKRISHNA PUR,0,0,4,0,0
WEST BENGAL,BIRBHUM,BOLPUR SRINEKATAN,MAHULA,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - II,RADHAPUR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,BENI PUR,0,0,1,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,GARHBETA - II,PATSALA,0,1,0,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,MACHNENDA TUR JALPAI,0,0,4,0,0
WEST BENGAL,PURBA MIDNAPORE,MOYNA,ISMALICHAK,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,MIRZAPUR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - II,BOICHIBONI,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,EGRA - II,SAHAPUR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - II,NARKULI,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - II,GOBINDAPUR,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,DESHPRAN,CHOWDHURI BAR,0,0,1,0,0
WEST BENGAL,MALDA,OLD MALDA,MUCHIA,0,0,1,0,0
WEST BENGAL,BIRBHUM,RAJ NAGAR,SAHA BAD,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,JAMRA SHYAMPUR,0,0,1,0,0
WEST BENGAL,BIRBHUM,RAMPURHAT-I,MASRA,0,2,10,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - III,D.KASCHESWAR,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,NAHARIA,0,0,5,0,0
WEST BENGAL,NADIA,TEHATTA-I,PURBA CHAK JILAPARA,0,0,0,0,1
WEST BENGAL,PURBA MIDNAPORE,PANSKURA - I,BIJOYNAGAR,0,0,0,0,1
WEST BENGAL,PASHCHIM MIDNAPORE,SANKRAIL,KHAS JANGAL,0,0,0,0,1
WEST BENGAL,BIRBHUM,RAMPURHAT-I,GOOG,0,0,1,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,MIDNAPORE SADAR,DEPARA,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - III,BARANAWAI,0,0,1,0,0
WEST BENGAL,BIRBHUM,NANOOR,ALIGRAM,0,0,2,0,0
WEST BENGAL,NADIA,NAKASHIPARA,DOGACHHIA,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - II,THIAR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,SAHID MATANGINI,SANTIPUR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,TENGRAMARI,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,KANU ROUTH BER,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - II,KANCHIBAR,0,0,2,0,0
WEST BENGAL,BIRBHUM,MD.BAZAR,KANI YARA,0,0,2,0,0
WEST BENGAL,BIRBHUM,KHOYRASOLE,PARATIA,0,0,1,0,0
WEST BENGAL,NADIA,HARINGHATA,THANSARA,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,JALALKHANBAR,0,0,1,0,0
WEST BENGAL,BIRBHUM,BOLPUR SRINEKATAN,KASUDRA AMDAHARA,0,0,3,0,0
WEST BENGAL,HOOGHLY,HARIPAL,RAJBALLAV BATI,0,0,0,1,0
WEST BENGAL,PURBA MIDNAPORE,PATASHPUR - I,RAM CHANDRA PUR,0,0,1,0,0
WEST BENGAL,NADIA,CHAPRA,NARAYANPUR,0,0,1,0,0
WEST BENGAL,BIRBHUM,KHOYRASOLE,PARSUNDI,0,0,1,0,0
WEST BENGAL,BIRBHUM,KHOYRASOLE,BALITA,1,0,0,0,0
WEST BENGAL,BIRBHUM,RAMPURHAT-I,ATLA,1,0,1,0,0
WEST BENGAL,BIRBHUM,MD.BAZAR,BAIDYANATH PUR,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,KRISHNA CHAK,0,0,1,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,DANTON - I,HASIMPUR,0,0,1,0,0
WEST BENGAL,BIRBHUM,MAYUURESWAR-2,BARA KALIKA PUR,0,1,4,0,0
WEST BENGAL,MURSHIDABAD,BURWAN,KURCHA,0,0,0,0,1
WEST BENGAL,PASHCHIM MIDNAPORE,GHATAL,DUBRAJ KUNDU,0,0,0,0,1
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,KASHI BHUA BAR,0,0,1,0,0
WEST BENGAL,BIRBHUM,MURARAI-2,BISHORE,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,DESHPRAN,PURBASIKARPUR,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,NAT DIGHI,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,SEKTTKCH BAR,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,BISWANATHPUR,0,0,2,0,0
WEST BENGAL,BIRBHUM,SAINTHIA,NANU BAZAR,0,2,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,ALANKAPUR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,HALDIA,BANSKHANAJALPAI,0,0,1,0,0
WEST BENGAL,HOOGHLY,DHANIAKHALI,SRITIPALASHI,0,0,6,0,0
WEST BENGAL,PURBA MIDNAPORE,EGRA - II,SHYAMHARIBAR,0,0,6,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,CHANDANPUR,0,0,1,0,0
WEST BENGAL,MURSHIDABAD,BURWAN,MARGRAM,0,0,0,0,2
WEST BENGAL,BIRBHUM,BOLPUR SRINEKATAN,RAMKANTAPUR,0,0,1,0,0
WEST BENGAL,MALDA,RATUA-II,SULTANPUR,0,0,0,0,1
WEST BENGAL,SOUTH 24 PARGANAS,MAGRAHAT-II,RAJAPUR,0,0,0,0,1
WEST BENGAL,PURBA MIDNAPORE,PATASHPUR - I,MAKARAM PUR,0,0,0,1,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,SUBARNA DIHI,0,0,1,0,0
WEST BENGAL,BIRBHUM,MAYUURESWAR-2,KHAGRA,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,SUTAHATA,GUABERIA,0,0,1,0,0
WEST BENGAL,BIRBHUM,RAMPURHAT-I,AKHIRA,0,0,1,0,0
WEST BENGAL,NADIA,KARIMPUR-I,BELDANGA,0,0,2,0,0
WEST BENGAL,BIRBHUM,KHOYRASOLE,NICHINTA,1,0,0,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,GOBINDA BASAN,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,KALUASANDA,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,KSHIRPAL,0,1,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,BHAGIBRAHMAPUR,0,0,1,0,0
WEST BENGAL,BIRBHUM,MAYURESWAR-1,JAMALPUR,0,0,3,0,0
WEST BENGAL,PURBA MIDNAPORE,SUTAHATA,BOURICHAK,0,0,1,0,0
WEST BENGAL,BIRBHUM,KHOYRASOLE,BATASPUR,0,0,1,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,NAYAGRAM,KADAMDIHA,0,0,1,0,0
WEST BENGAL,HOOGHLY,HARIPAL,SIPAIGACHHI,0,0,1,0,0
WEST BENGAL,BIRBHUM,MURARAI-1,BHADISWAR,0,0,5,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - II,RAMCHANDRA PUR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,JAGADISHPUR,0,0,4,0,0
WEST BENGAL,PURBA MIDNAPORE,MOYNA,KRIPANANDAPUR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - II,SONAMUI,0,1,7,0,0
WEST BENGAL,MURSHIDABAD,DOMKAL,GORIBPUR,0,0,0,0,2
WEST BENGAL,PURBA MIDNAPORE,EGRA - II,CHIRULIA,0,0,6,0,0
WEST BENGAL,PURBA MIDNAPORE,DESHPRAN,BANKIPUT,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,HALDIA,CHAKLALPUR,0,0,4,0,0
WEST BENGAL,BIRBHUM,RAMPURHAT-I,HARIOKA,0,2,2,0,0
WEST BENGAL,PURBA MIDNAPORE,CONTAI - I,KANCHURI,0,0,2,0,0
WEST BENGAL,BIRBHUM,NANOOR,GOMRA,0,0,1,0,0
WEST BENGAL,BIRBHUM,NANOOR,GARPARA,0,0,1,0,0
WEST BENGAL,NADIA,KRISHNANAGAR-I,JAVA,0,0,1,0,0
WEST BENGAL,HOOGHLY,KHANAKUL-I,SRIRAMPUR,0,0,1,0,0
WEST BENGAL,BIRBHUM,DUBRAJ PUR,KHOSBAS PUR,0,0,1,0,0
WEST BENGAL,BIRBHUM,ILLAM BAZAR,GOLAB BAG,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,CHANDIPUR,JADAV MISHRA CHAK,1,0,0,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,MEDINIPUR,0,0,2,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,GARHBETA - III,BAGCHARI,0,1,0,0,0
WEST BENGAL,PURBA MIDNAPORE,SUTAHATA,BARMOHANPUR,0,0,2,0,0
WEST BENGAL,PASHCHIM MIDNAPORE,PINGLA,SAMSARA,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,PATASHPUR - I,MACHRANKA NANKAR,0,0,2,0,0
WEST BENGAL,BIRBHUM,RAMPURHAT-I,MALSA,0,2,2,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,PURUSATTAMPUR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,SUKRASANI,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,GHITAPURA,0,0,1,0,0
WEST BENGAL,BIRBHUM,SAINTHIA,SURAI PUR,0,1,0,0,0
WEST BENGAL,NADIA,KRISHNANAGAR-I,MURAGACHHA,0,0,1,0,1
WEST BENGAL,PASHCHIM MIDNAPORE,JHARGRAM,CHUBKA,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - II,MANI KABASAN,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,HARUPUR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,RAMNAGAR - I,JHAWA,0,0,2,0,0
WEST BENGAL,PURBA MIDNAPORE,DESHPRAN,PURBA BAMUNIA,0,0,1,0,0
WEST BENGAL,SOUTH 24 PARGANAS,GOSABA,BIRAJNAGAR,0,1,0,0,0
WEST BENGAL,SOUTH 24 PARGANAS,MATHURAPUR-II,MAHABAT NAGAR,0,0,1,0,0
WEST BENGAL,BIRBHUM,RAMPURHAT-I,BATAIL,0,1,1,0,0
WEST BENGAL,BIRBHUM,ILLAM BAZAR,RAKONA,0,0,1,0,0
WEST BENGAL,BIRBHUM,MD.BAZAR,RASHPUR,0,0,1,0,0
WEST BENGAL,PURBA MIDNAPORE,MOYNA,SRIKANTHA,0,0,1,0,0
WEST BENGAL,BIRBHUM,MD.BAZAR,GANPUR,0,0,1,0,0
WEST BENGAL,BIRBHUM,RAMPURHAT-I,CHANDAN KANTHA,0,0,1,0,0
