State,District,Block/Tehsil,Village,values,problem
ANDHRA PRADESH,Anantapur,Chennekothapalle,Chennekothapalle,0,Project
ANDHRA PRADESH,Anantapur,Chennekothapalle,Chennekothapalle,0,Others
ANDHRA PRADESH,Anantapur,Chennekothapalle,Ganginepalle,0,Salinity
ANDHRA PRADESH,Anantapur,Chennekothapalle,Ganginepalle,1,Dried_up
ANDHRA PRADESH,Anantapur,Chennekothapalle,Ganginepalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Chennekothapalle,Ganginepalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Chennekothapalle,Ganginepalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Chennekothapalle,Ganginepalle,0,Project
ANDHRA PRADESH,Anantapur,Chennekothapalle,Ganginepalle,0,Others
ANDHRA PRADESH,Anantapur,Chennekothapalle,Nyamaddala,0,Salinity
ANDHRA PRADESH,Anantapur,Chennekothapalle,Nyamaddala,0,Dried_up
ANDHRA PRADESH,Anantapur,Chennekothapalle,Nyamaddala,2,Destroyed
ANDHRA PRADESH,Anantapur,Chennekothapalle,Nyamaddala,0,Sea_water
ANDHRA PRADESH,Anantapur,Chennekothapalle,Nyamaddala,0,Factory_waste
ANDHRA PRADESH,Anantapur,Chennekothapalle,Nyamaddala,0,Project
ANDHRA PRADESH,Anantapur,Chennekothapalle,Nyamaddala,0,Others
ANDHRA PRADESH,Anantapur,Chilamathur,Kodur,0,Salinity
ANDHRA PRADESH,Anantapur,Chilamathur,Kodur,6,Dried_up
ANDHRA PRADESH,Anantapur,Chilamathur,Kodur,1,Destroyed
ANDHRA PRADESH,Anantapur,Chilamathur,Kodur,0,Sea_water
ANDHRA PRADESH,Anantapur,Chilamathur,Kodur,0,Factory_waste
ANDHRA PRADESH,Anantapur,Chilamathur,Kodur,0,Project
ANDHRA PRADESH,Anantapur,Chilamathur,Kodur,0,Others
ANDHRA PRADESH,Anantapur,Chilamathur,Tekulodu,0,Salinity
ANDHRA PRADESH,Anantapur,Chilamathur,Tekulodu,2,Dried_up
ANDHRA PRADESH,Anantapur,Chilamathur,Tekulodu,0,Destroyed
ANDHRA PRADESH,Anantapur,Chilamathur,Tekulodu,0,Sea_water
ANDHRA PRADESH,Anantapur,Chilamathur,Tekulodu,0,Factory_waste
ANDHRA PRADESH,Anantapur,Chilamathur,Tekulodu,0,Project
ANDHRA PRADESH,Anantapur,Chilamathur,Tekulodu,0,Others
ANDHRA PRADESH,Anantapur,D.Hirehal,H.Hossahalli,0,Salinity
ANDHRA PRADESH,Anantapur,D.Hirehal,H.Hossahalli,8,Dried_up
ANDHRA PRADESH,Anantapur,D.Hirehal,H.Hossahalli,0,Destroyed
ANDHRA PRADESH,Anantapur,D.Hirehal,H.Hossahalli,0,Sea_water
ANDHRA PRADESH,Anantapur,D.Hirehal,H.Hossahalli,0,Factory_waste
ANDHRA PRADESH,Anantapur,D.Hirehal,H.Hossahalli,0,Project
ANDHRA PRADESH,Anantapur,D.Hirehal,H.Hossahalli,0,Others
ANDHRA PRADESH,Anantapur,D.Hirehal,Hirdehal,0,Salinity
ANDHRA PRADESH,Anantapur,D.Hirehal,Hirdehal,40,Dried_up
ANDHRA PRADESH,Anantapur,D.Hirehal,Hirdehal,1,Destroyed
ANDHRA PRADESH,Anantapur,D.Hirehal,Hirdehal,0,Sea_water
ANDHRA PRADESH,Anantapur,D.Hirehal,Hirdehal,0,Factory_waste
ANDHRA PRADESH,Anantapur,D.Hirehal,Hirdehal,0,Project
ANDHRA PRADESH,Anantapur,D.Hirehal,Hirdehal,1,Others
ANDHRA PRADESH,Anantapur,D.Hirehal,Jajarakal,0,Salinity
ANDHRA PRADESH,Anantapur,D.Hirehal,Jajarakal,5,Dried_up
ANDHRA PRADESH,Anantapur,D.Hirehal,Jajarakal,0,Destroyed
ANDHRA PRADESH,Anantapur,D.Hirehal,Jajarakal,0,Sea_water
ANDHRA PRADESH,Anantapur,D.Hirehal,Jajarakal,0,Factory_waste
ANDHRA PRADESH,Anantapur,D.Hirehal,Jajarakal,0,Project
ANDHRA PRADESH,Anantapur,D.Hirehal,Jajarakal,0,Others
ANDHRA PRADESH,Anantapur,D.Hirehal,Kadalur,1,Salinity
ANDHRA PRADESH,Anantapur,D.Hirehal,Kadalur,2,Dried_up
ANDHRA PRADESH,Anantapur,D.Hirehal,Kadalur,0,Destroyed
ANDHRA PRADESH,Anantapur,D.Hirehal,Kadalur,0,Sea_water
ANDHRA PRADESH,Anantapur,D.Hirehal,Kadalur,0,Factory_waste
ANDHRA PRADESH,Anantapur,D.Hirehal,Kadalur,0,Project
ANDHRA PRADESH,Anantapur,D.Hirehal,Kadalur,0,Others
ANDHRA PRADESH,Anantapur,D.Hirehal,Muradi,0,Salinity
ANDHRA PRADESH,Anantapur,D.Hirehal,Muradi,1,Dried_up
ANDHRA PRADESH,Anantapur,D.Hirehal,Muradi,0,Destroyed
ANDHRA PRADESH,Anantapur,D.Hirehal,Muradi,0,Sea_water
ANDHRA PRADESH,Anantapur,D.Hirehal,Muradi,0,Factory_waste
ANDHRA PRADESH,Anantapur,D.Hirehal,Muradi,0,Project
ANDHRA PRADESH,Anantapur,D.Hirehal,Muradi,0,Others
ANDHRA PRADESH,Anantapur,D.Hirehal,Nagalapuram,0,Salinity
