State,District,Block/Tehsil,Village,values,problem
ANDHRA PRADESH,Anantapur,Bathalapalle,Apparacheruvu,0,Sea_water
ANDHRA PRADESH,Anantapur,Bathalapalle,Apparacheruvu,0,Factory_waste
ANDHRA PRADESH,Anantapur,Bathalapalle,Apparacheruvu,0,Project
ANDHRA PRADESH,Anantapur,Bathalapalle,Apparacheruvu,0,Others
ANDHRA PRADESH,Anantapur,Bathalapalle,Bathalapalle,1,Salinity
ANDHRA PRADESH,Anantapur,Bathalapalle,Bathalapalle,19,Dried_up
ANDHRA PRADESH,Anantapur,Bathalapalle,Bathalapalle,4,Destroyed
ANDHRA PRADESH,Anantapur,Bathalapalle,Bathalapalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Bathalapalle,Bathalapalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Bathalapalle,Bathalapalle,0,Project
ANDHRA PRADESH,Anantapur,Bathalapalle,Bathalapalle,0,Others
ANDHRA PRADESH,Anantapur,Bathalapalle,Chennarayapatnam,0,Salinity
ANDHRA PRADESH,Anantapur,Bathalapalle,Chennarayapatnam,1,Dried_up
ANDHRA PRADESH,Anantapur,Bathalapalle,Chennarayapatnam,0,Destroyed
ANDHRA PRADESH,Anantapur,Bathalapalle,Chennarayapatnam,0,Sea_water
ANDHRA PRADESH,Anantapur,Bathalapalle,Chennarayapatnam,0,Factory_waste
ANDHRA PRADESH,Anantapur,Bathalapalle,Chennarayapatnam,0,Project
ANDHRA PRADESH,Anantapur,Bathalapalle,Chennarayapatnam,0,Others
ANDHRA PRADESH,Anantapur,Bathalapalle,D.Cherlopalle,0,Salinity
ANDHRA PRADESH,Anantapur,Bathalapalle,D.Cherlopalle,1,Dried_up
ANDHRA PRADESH,Anantapur,Bathalapalle,D.Cherlopalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Bathalapalle,D.Cherlopalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Bathalapalle,D.Cherlopalle,1,Factory_waste
ANDHRA PRADESH,Anantapur,Bathalapalle,D.Cherlopalle,0,Project
ANDHRA PRADESH,Anantapur,Bathalapalle,D.Cherlopalle,0,Others
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,2,Salinity
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,3,Dried_up
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,0,Destroyed
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,0,Sea_water
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,0,Factory_waste
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,0,Project
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,0,Others
ANDHRA PRADESH,Anantapur,Bathalapalle,Edula Mustur,0,Salinity
ANDHRA PRADESH,Anantapur,Bathalapalle,Edula Mustur,15,Dried_up
ANDHRA PRADESH,Anantapur,Bathalapalle,Edula Mustur,2,Destroyed
ANDHRA PRADESH,Anantapur,Bathalapalle,Edula Mustur,0,Sea_water
ANDHRA PRADESH,Anantapur,Bathalapalle,Edula Mustur,0,Factory_waste
ANDHRA PRADESH,Anantapur,Bathalapalle,Edula Mustur,1,Project
ANDHRA PRADESH,Anantapur,Bathalapalle,Edula Mustur,0,Others
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,2,Salinity
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,41,Dried_up
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,5,Destroyed
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,2,Factory_waste
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0,Project
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0,Others
ANDHRA PRADESH,Anantapur,Bathalapalle,Malyavantham,1,Salinity
ANDHRA PRADESH,Anantapur,Bathalapalle,Malyavantham,10,Dried_up
ANDHRA PRADESH,Anantapur,Bathalapalle,Malyavantham,0,Destroyed
ANDHRA PRADESH,Anantapur,Bathalapalle,Malyavantham,0,Sea_water
ANDHRA PRADESH,Anantapur,Bathalapalle,Malyavantham,1,Factory_waste
ANDHRA PRADESH,Anantapur,Bathalapalle,Malyavantham,0,Project
ANDHRA PRADESH,Anantapur,Bathalapalle,Malyavantham,0,Others
ANDHRA PRADESH,Anantapur,Bathalapalle,Obulapuram,0,Salinity
ANDHRA PRADESH,Anantapur,Bathalapalle,Obulapuram,5,Dried_up
ANDHRA PRADESH,Anantapur,Bathalapalle,Obulapuram,0,Destroyed
ANDHRA PRADESH,Anantapur,Bathalapalle,Obulapuram,0,Sea_water
ANDHRA PRADESH,Anantapur,Bathalapalle,Obulapuram,1,Factory_waste
ANDHRA PRADESH,Anantapur,Bathalapalle,Obulapuram,0,Project
ANDHRA PRADESH,Anantapur,Bathalapalle,Obulapuram,0,Others
ANDHRA PRADESH,Anantapur,Bathalapalle,Sangala,1,Salinity
ANDHRA PRADESH,Anantapur,Bathalapalle,Sangala,15,Dried_up
ANDHRA PRADESH,Anantapur,Bathalapalle,Sangala,4,Destroyed
ANDHRA PRADESH,Anantapur,Bathalapalle,Sangala,0,Sea_water
ANDHRA PRADESH,Anantapur,Bathalapalle,Sangala,0,Factory_waste
ANDHRA PRADESH,Anantapur,Bathalapalle,Sangala,0,Project
ANDHRA PRADESH,Anantapur,Bathalapalle,Sangala,0,Others
ANDHRA PRADESH,Anantapur,Brahmasamudram,Bhairasamudram,0,Salinity
ANDHRA PRADESH,Anantapur,Brahmasamudram,Bhairasamudram,24,Dried_up
ANDHRA PRADESH,Anantapur,Brahmasamudram,Bhairasamudram,15,Destroyed
ANDHRA PRADESH,Anantapur,Brahmasamudram,Bhairasamudram,0,Sea_water
ANDHRA PRADESH,Anantapur,Brahmasamudram,Bhairasamudram,0,Factory_waste
ANDHRA PRADESH,Anantapur,Brahmasamudram,Bhairasamudram,0,Project
ANDHRA PRADESH,Anantapur,Brahmasamudram,Bhairasamudram,2,Others
ANDHRA PRADESH,Anantapur,Brahmasamudram,Brahmasamudram,0,Salinity
ANDHRA PRADESH,Anantapur,Brahmasamudram,Brahmasamudram,0,Dried_up
ANDHRA PRADESH,Anantapur,Brahmasamudram,Brahmasamudram,1,Destroyed
ANDHRA PRADESH,Anantapur,Brahmasamudram,Brahmasamudram,0,Sea_water
ANDHRA PRADESH,Anantapur,Brahmasamudram,Brahmasamudram,0,Factory_waste
ANDHRA PRADESH,Anantapur,Brahmasamudram,Brahmasamudram,0,Project
ANDHRA PRADESH,Anantapur,Brahmasamudram,Brahmasamudram,0,Others
ANDHRA PRADESH,Anantapur,Brahmasamudram,Eradikera,0,Salinity
ANDHRA PRADESH,Anantapur,Brahmasamudram,Eradikera,2,Dried_up
ANDHRA PRADESH,Anantapur,Brahmasamudram,Eradikera,0,Destroyed
ANDHRA PRADESH,Anantapur,Brahmasamudram,Eradikera,0,Sea_water
ANDHRA PRADESH,Anantapur,Brahmasamudram,Eradikera,0,Factory_waste
ANDHRA PRADESH,Anantapur,Brahmasamudram,Eradikera,0,Project
ANDHRA PRADESH,Anantapur,Brahmasamudram,Eradikera,0,Others
ANDHRA PRADESH,Anantapur,Brahmasamudram,Kannepalle,0,Salinity
ANDHRA PRADESH,Anantapur,Brahmasamudram,Kannepalle,3,Dried_up
ANDHRA PRADESH,Anantapur,Brahmasamudram,Kannepalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Brahmasamudram,Kannepalle,1,Sea_water
ANDHRA PRADESH,Anantapur,Brahmasamudram,Kannepalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Brahmasamudram,Kannepalle,0,Project
ANDHRA PRADESH,Anantapur,Brahmasamudram,Kannepalle,0,Others
